['zichtbare'],1,15:38:12.820
['synthesen'],1,15:38:13.820
['paleis'],1,15:38:14.820
['schaden'],1,15:38:15.820
['leuks'],1,15:38:16.820
['weergeven'],1,15:38:17.820
['wei'],1,15:38:18.820
['beschouwing'],1,15:38:19.820
['hein'],1,15:38:20.820
['literatuur'],1,15:38:21.820
['stokt'],1,15:38:22.820
['bewustzijn'],1,15:38:23.820
['medewerkers'],1,15:38:24.820
['misverstand'],1,15:38:25.820
['complicaties'],1,15:38:26.820
['belanghebbenden'],1,15:38:27.820
['draait'],1,15:38:28.820
['inwoners'],1,15:38:29.820
['roze'],1,15:38:30.820
['hij'],1,15:38:31.820
['fameur'],0,15:38:32.820
['mantie'],0,15:38:33.820
['terscheid'],0,15:38:34.820
['klag'],0,15:38:35.820
['orteerd'],0,15:38:36.820
['submen'],0,15:38:37.820
['studen'],0,15:38:38.820
['stanker'],0,15:38:39.820
['dren'],0,15:38:40.820
['keuk'],0,15:38:41.820
['jatie'],0,15:38:42.820
['r�s'],0,15:38:43.820
['diten'],0,15:38:44.820
['vreed'],0,15:38:45.820
['grafeit'],0,15:38:46.820
['gedig'],0,15:38:47.820
['hemen'],0,15:38:48.820
['samer'],0,15:38:49.820
['proten'],0,15:38:50.820
['bekachtig'],0,15:38:51.820
